legacy_path,legacy_title,new_path,action,seo_value,prerequisite,verification_status,rationale
/,陳慧文 高雄市議員｜官方網站｜鳳山區,/,保留,A,"custom domain 切換後維持同一 canonical URL",confirmed,"同網域首頁不建立 root-to-root redirect"
/?pvs=18,陳慧文,/,301,B,"Cloudflare Single Redirect 精準匹配 pvs=18 且不保留 query",confirmed,"移除 Notion presentation query，不形成 chain"
/2cabd14680548086b565c9d13c3f0223?pvs=96,服務案件／網站聯絡,/petition.html,301,A,"petition 已承接案件登記、電話、服務資訊與法律諮詢入口",confirmed,"保留服務與聯絡 intent"
/map?pvs=96,陳慧文政績地圖,/achievements.html,301,A,"新站地圖與文字清單 production verification",confirmed,"主題一對一"
/2c8bd146805480508ec7dee2b2feffeb?pvs=96,問政記錄,/council-records.html,301,A,"新增 council-records hub 並依高雄市議會官方資料核對第4屆總質詢",confirmed,"舊站只有4-6總質詢，專用 hub 比一般新聞頁更能承接 intent"
/news?pvs=96,新聞發稿／最新動態,/news.html,301,A,"新站新聞頁 production verification",confirmed,"集合頁一對一"
/2c8bd14680548094b190f219067ee1ab?pvs=96,關於慧文,/about.html,301,A,"新站 about production verification",confirmed,"主題一對一"
/laf,鳳山免費法律諮詢,/service.html#monthly-heading,301,A,"新站服務資訊與律師時間通過內容核對",confirmed,"直接承接法律諮詢 intent"
/2c8bd146805480c7ba4dcdbbc6ba9682,鳳山免費法律諮詢,/service.html#monthly-heading,301,A,"新站服務資訊與律師時間通過內容核對",confirmed,"UUID 與短網址皆到同一相符 section"
/2c8bd146805480a9aa71e4ef74241b1e,政見與願景,/vision.html,301,A,"新站政見頁已核對歷屆內容",confirmed,"主題一對一"
/2c8bd1468054809dbea0e5282e0d819a,新聞發稿／最新消息,/news.html,301,A,"新站新聞頁 production verification",confirmed,"集合頁一對一"
/2c3423934b0f44c5bbcb7bef4268e25c?pvs=21,鳳山火車站重建與捷運站整合,/achievement-fengshan-station-overview.html,301,A,"站城整合 hub 已存在；正式網域切換後才實作轉址",confirmed,"由整合 hub 承接 legacy intent，再連到細分車站專題"
/361bd1468054805dbaf6efe1dd3b3192,民主自由不是天上掉下來的：美麗島事件,/history-meilidao.html,301,B,"歷史／人權獨立頁已存在；正式網域切換後才實作轉址",confirmed,"內容主題高度對應，不導回首頁"
/12-94d8f45d9d77442db517e752ec3e8107,"12 年前的那雙手",/history-kumamoto-relief.html,301,B,"新增官方來源核驗的高雄—熊本互助 evergreen successor",confirmed,"保留歷史與賑災 intent；過期募款 CTA 不延續"
/rehabilitationbus26,特教復康巴士全額補助,/achievement-special-education-support.html,301,A,"新站特教頁已核對補助資格、審查與全額補助條件",confirmed,"交通補助已實施；校園護理人力仍依官方報告限定"
/260709,八德滯洪池已具蓄水功能,/achievement-bade-detention.html,301,A,"新站已保留工程金額口徑與最新階段性防汛狀態",confirmed,"分列計畫總經費與採購決標，不將施工進度寫成完工"
/7-12-38dbd1468054803f8e1ddc7550860f5c?pvs=21,五福市場職人展,/activity-market.html,301,B,"高度對應活動專頁已存在",confirmed,"內容高度對應"
/0?v=2c8bd1468054802084f7000c0a7c3064&pvs=18,導航列,,404保留,D,"先觀察 Search Console／外部連結，不在 cutover 首日主動回410",partial,"Notion 內部資料庫 view 無獨立公開價值；先讓 GitHub Pages 正常404"
